Position,Rate
0.0,4.161073825488889e-07
298.0,3.698492462328646e-07
1293.0,6.840620592400267e-08
2711.0,5.6603773576059536e-08
2764.0,4.878048779725456e-08
2887.0,4.9107142860041874e-08
3335.0,4.7979797979775876e-08
4127.0,4.753282028128294e-08
6336.0,4.891304347061667e-08
6520.0,4.84727755646971e-08
8026.0,5.010660980784669e-08
10840.0,5.733397037697553e-08
12933.0,5.911778080964419e-08
17331.0,5.7692307694678355e-08
17643.0,5.939524837979933e-08
18569.0,1.101047443006904e-06
20192.0,1.101136363637875e-06
21072.0,1.93704600425315e-08
21485.0,1.4705882353130813e-08
21961.0,1.4018691586594184e-08
22175.0,1.540436457211468e-08
22954.0,1.2269938641123921e-08
23117.0,1.3071895438273939e-08
23270.0,1.479514415685043e-08
25906.0,1.6523463318459957e-08
27419.0,1.4836795256934921e-08
27756.0,8.923431203192926e-08
32967.0,3.4277198212444645e-08
34309.0,1.5584415585055972e-08
35464.0,1.2556504267843898e-08
37455.0,1.2734584451586865e-08
38947.0,5.4347826142823715e-09
39131.0,8.06451612299677e-09
39379.0,7.874015746800933e-09
39760.0,0.0
39978.0,2.782931353925005e-09
41056.0,2.03311065933496e-09
44499.0,1.9011406852392347e-09
47655.0,4.373913043464051e-07
48805.0,1.6666666666644425e-07
50089.0,2.006688962897094e-09
54574.0,2.2900763382319613e-09
55884.0,2.0449897735206536e-09
56862.0,1.4430014444847856e-09
57555.0,3.0674846548320327e-09
57881.0,2.044989777153285e-09
58370.0,0.0
58481.0,2.052238806091302e-09
63841.0,2.56410256673835e-09
64231.0,2.5380710640903542e-09
65019.0,8.771929825787526e-09
65475.0,1.878612716640546e-08
66859.0,4.3630017453455346e-08
67432.0,7.655677655674128e-08
72892.0,4.854368933579678e-08
72995.0,1.4409221899765396e-08
74036.0,2.894356008763984e-09
74727.0,2.649006622886829e-09
76237.0,2.2428708747485636e-09
79358.0,2.2627847333920316e-09
85987.0,2.1046301864372423e-09
89313.0,2.4630541897240306e-09
89719.0,4.032258068661114e-09
89967.0,3.225806443468525e-09
90277.0,3.154574135734878e-09
90594.0,2.8195488717398077e-09
91658.0,3.3426183858579525e-09
93453.0,0.0
93549.0,3.6630036602622692e-09
94095.0,4.857316333405115e-09
95742.0,7.077856420718167e-09
102665.0,7.018992568006478e-09
107509.0,7.619047616729057e-08
107614.0,1.3145539906153665e-07
110596.0,5.486284289600688e-08
110997.0,2.108433734966948e-08
111329.0,2.242152464689685e-09
113113.0,6.802721095428275e-09
113407.0,5.714285712039262e-09
114282.0,0.0
114285.0,2.2988505750339722e-08
114459.0,2.024922118248065e-08
115101.0,3.908045977761932e-08
115536.0,6.24999999690853e-08
115648.0,6.184629377046214e-08
117847.0,6.143856143960722e-08
119849.0,2.0799999998644126e-07
119974.0,2.0000000006348273e-07
119999.0,1.775700934578621e-07
120427.0,3.796445880337315e-08
121665.0,3.000000000123274e-08
122265.0,2.3121387286468856e-08
122438.0,1.140065146594506e-08
123052.0,1.0189228529971278e-08
124426.0,1.1263073210121106e-08
125669.0,1.0509926041001602e-08
128238.0,1.0558069381734944e-08
128901.0,9.508716321810319e-09
129532.0,1.0679196924745799e-08
131873.0,1.1595803423672447e-08
133684.0,8.796622096906695e-08
135105.0,1.3689142391557552e-07
140014.0,1.2589173310475983e-08
142397.0,7.632334838034717e-08
144834.0,1.02678571428385e-07
146178.0,1.060407705255669e-07
151525.0,1.5873015871831588e-08
153352.0,1.440177252622247e-08
